	Dmawii-to-Dcoriacea	Cinsculpta-to-Dcoriacea	Cmccordi-to-Dcoriacea	Pexpansa-to-Dcoriacea	Amarmorata-to-Dcoriacea	Mtuberculata-to-Dcoriacea	Rswinhoei-to-Dcoriacea	Esubglobosa-to-Dcoriacea
gene-GPC6	I	I	I	I	I	I	I	I
gene-LOC119842793	I	I	I	L	I	UL	I	L
gene-MOB1B	I	I	PI	I	I	I	I	I
gene-C3H2orf50	I	I	I	I	I	I	I	I
gene-PLEKHA5	I	I	I	I	I	I	I	I
gene-DPP9	I	I	I	I	I	I	I	I
gene-KCNIP1	I	I	I	I	I	I	I	I
gene-INPP4A	I	I	I	I	I	I	UL	I
gene-SERAC1	I	I	I	I	UL	I	I	I
gene-INHBA	I	I	I	I	I	I	I	I
gene-SCUBE2	I	I	I	UL	PI	UL	UL	I
gene-RIC1	I	I	I	I	I	I	I	I
gene-LOC119846885	I	I	PG	I	I	I	L	I
gene-SLC35E3	I	I	I	I	I	I	I	I
gene-SLC51A	I	I	I	I	I	I	I	I
gene-SUPT5H	I	I	I	I	I	I	I	I
gene-MEF2D	I	I	I	I	I	I	I	I
gene-GZF1	I	I	I	I	I	I	I	I
gene-BRSK2	I	I	I	I	I	I	UL	I
gene-LOC119851757	I	I	I	I	I	I	UL	I
gene-LOC119854761	L	L	L	L	L	L	UL	UL
gene-LOC119841956	M	M	I	UL	M	UL	I	L
gene-RTN4	I	I	I	I	I	I	I	I
gene-ALG5	I	I	I	I	I	I	I	I
gene-PHAF1	I	I	I	I	I	I	I	I
gene-PCMTD1	I	I	I	I	I	I	I	I
gene-ATG16L1	I	I	I	I	I	I	I	I
gene-HERC1	I	I	I	I	PI	I	UL	I
gene-RASGEF1A	I	I	I	I	I	I	I	I
gene-LOC119846307	I	M	I	M	I	L	I	L
gene-MRRF	I	I	I	I	I	I	I	I
gene-YBEY	I	I	I	I	I	I	I	I
gene-PARP9	I	I	I	I	I	I	I	I
gene-LOC119841348	I	I	I	I	I	I	I	I
gene-EML1	I	I	I	I	I	I	I	I
gene-LOC119856044	I	I	I	I	I	I	I	I
gene-CCDC141	I	I	I	I	I	I	I	I
gene-SBF1	I	I	I	I	I	PI	UL	I
gene-LOC119851240	I	I	I	I	PI	I	I	I
gene-NCOA2	I	I	PI	I	PI	I	UL	I
gene-ECT2	I	I	I	I	I	I	I	I
gene-ZNF518B	I	I	I	I	I	I	I	I
gene-NME3	UL	I	I	I	I	I	I	I
gene-NTF3	I	I	I	I	I	I	I	I
gene-CEP72	I	I	I	I	I	I	UL	I
gene-DTNA	I	I	I	I	I	I	I	I
gene-XAB2	I	UL	I	I	I	I	UL	I
gene-LRRC69	I	I	I	I	I	I	I	I
gene-ZC3H12A	I	I	I	I	I	I	I	I
gene-NCKIPSD	I	I	I	I	PI	I	I	I
gene-CTDP1	I	I	I	I	I	I	UL	I
gene-LOC119845866	I	I	I	I	I	I	I	I
gene-OLFML3	I	I	I	I	I	I	I	I
gene-LOC119858699	I	I	I	I	PI	I	I	I
gene-VPS52	UL	I	I	I	PI	UL	I	UL
gene-LRRC75A	I	I	I	I	I	I	I	I
gene-HSD11B2	I	I	I	I	I	I	I	I
gene-LOC119855619	I	I	I	I	I	I	I	I
gene-PLPPR3	I	I	I	UL	PI	I	UL	I
gene-SYTL4	UL	UL	UL	UL	UL	UL	UL	UL
gene-ERP44	I	I	I	I	I	I	I	I
gene-PFN1	PG	PG	L	I	PI	I	I	I
gene-LOC119842902	PI	I	I	I	M	I	I	I
gene-SLC25A48	I	I	I	I	I	I	UL	I
gene-KIF21A	I	I	I	I	I	I	UL	I
gene-ATXN7	I	I	I	I	I	I	I	I
gene-KCNJ14	I	I	PI	I	L	I	UL	I
gene-LOC119857313	I	I	I	I	I	I	I	I
gene-LOC119851431	I	I	I	I	I	I	I	I
gene-ING3	I	I	I	I	I	I	I	I
gene-RBMS2	UL	I	PI	I	UL	PI	I	PI
gene-GOT1	I	I	UL	I	UL	UL	UL	UL
gene-ERFE	I	I	I	I	I	I	I	I
gene-GPR37L1	I	I	I	I	I	I	I	I
gene-IGSF9	PI	I	I	I	I	UL	UL	I
gene-LOC119841547	I	I	M	I	I	I	I	I
gene-ZSWIM1	I	I	I	I	I	I	I	I
gene-SLC25A45	I	I	I	I	I	I	I	I
gene-S1PR3	I	I	I	I	I	I	I	I
gene-TTC39C	UL	UL	UL	UL	UL	UL	UL	I
gene-PCM1	I	I	I	I	I	I	UL	I
gene-PTPRS	I	I	I	I	I	I	UL	I
gene-ANKS1A	I	I	I	I	I	I	I	I
gene-NAPRT	I	PI	PI	PI	I	PI	I	I
gene-CNOT8	I	I	I	I	I	I	I	I
gene-RCBTB2	I	I	I	I	I	I	UL	I
gene-EIF4G3	I	UL	PI	I	I	I	UL	I
gene-HSD3B7	I	I	UL	I	I	I	UL	I
gene-CCDC69	I	I	I	I	I	I	I	I
gene-LOC119854083	I	PI	I	I	I	I	I	I
gene-DOCK11	I	I	I	I	I	I	UL	I
gene-UNC5B	I	I	I	I	I	I	I	I
gene-TNFRSF8	I	PI	I	I	I	I	I	I
gene-KIF23	I	I	I	I	I	I	I	I
gene-TSC1	I	I	I	I	I	I	I	I
gene-INPP5A	I	I	I	I	I	I	I	I
gene-LOC119856551	PI	I	I	I	I	PI	I	I
gene-FNIP2	I	I	I	I	I	I	I	I
gene-LOC119859491	I	M	I	I	I	I	I	I
gene-USP6NL	I	I	I	I	I	I	I	I
gene-LOC119857450	I	I	PI	I	I	PI	I	I
gene-NLGN4X	I	I	I	I	I	I	I	I
gene-GXYLT1	I	I	I	I	I	I	I	I
gene-PERM1	I	I	I	I	I	I	I	I
gene-GPBP1L1	I	I	I	I	I	I	I	I
gene-RAPGEF6	I	I	I	I	I	I	I	I
gene-ENTPD6	I	I	I	I	I	I	I	I
gene-RNF41	I	I	I	I	I	I	I	I
gene-CORO7	I	I	I	I	PI	I	UL	I
gene-DARS2	I	I	I	I	PI	I	UL	I
gene-LOC119852273	I	L	UL	I	I	I	I	I
gene-VWA3A	PI	I	I	I	I	I	I	I
gene-ADCYAP1R1	I	I	PI	I	I	I	I	I
gene-SPTBN4	UL	L	PM	I	PI	I	UL	I
gene-CFAP57	I	I	I	I	I	I	I	I
gene-TASOR	I	I	I	I	I	I	I	I
gene-DNAJC28	I	I	I	I	I	I	I	I
gene-SULF1	I	I	I	I	I	I	I	I
gene-JHY	I	I	I	I	I	I	I	I
gene-ANP32A	I	I	I	I	I	I	I	I
gene-ADGRA3	I	I	I	I	I	I	I	I
gene-PARP14	I	I	I	I	I	I	UL	I
gene-TP53BP2	I	I	I	I	I	UL	UL	I
gene-ZC2HC1C	I	I	I	I	I	I	I	I
gene-DAAM1	I	I	I	I	I	I	UL	I
gene-KANSL3	I	I	I	I	I	I	UL	I
gene-LOC119859368	I	I	I	I	I	I	I	I
gene-LHFPL6	I	I	I	I	PI	I	I	I
gene-METTL15	UL	I	PI	I	I	I	I	I
gene-TBC1D9	I	I	I	I	I	I	I	I
gene-LOC119843056	L	M	I	I	I	I	I	I
gene-FBXL17	I	I	I	I	I	I	I	I
gene-SLC39A5	I	UL	PI	I	UL	I	L	UL
gene-PDHX	I	I	I	I	I	I	I	I
gene-LOC119842768	I	I	I	I	I	I	I	I
gene-HMOX2	I	I	I	I	I	I	I	I
gene-PRELID1	PI	PI	PI	I	PI	PI	UL	I
gene-LOC119842114	UL	UL	UL	UL	PI	I	L	M
gene-B3GLCT	I	I	I	I	I	I	I	I
gene-C4H2orf81	I	I	I	I	M	I	I	I
gene-ARPP19	I	I	I	I	I	I	I	I
gene-ANXA6	I	I	I	I	I	I	PI	I
gene-SEC24B	I	UL	PI	UL	I	I	I	I
gene-ARPC5	UL	UL	UL	I	UL	I	UL	I
gene-FOXP2	I	I	I	I	I	I	I	PI
gene-E2F8	I	I	I	I	I	I	I	I
gene-DENND4A	I	I	I	I	I	I	UL	I
gene-ZFP36L2	I	I	UL	I	I	I	I	I
gene-LIMD1	I	I	I	I	PI	I	I	I
gene-ABCC4	I	I	I	I	I	I	I	I
gene-MANEA	I	I	I	I	I	I	UL	I
gene-LOC119843030	L	M	M	I	I	M	L	I
gene-DENND1B	I	I	I	I	I	I	I	I
gene-DNA2	I	I	I	I	I	I	I	I
gene-ZCCHC4	I	I	I	I	I	I	I	I
gene-ATG5	I	I	I	I	PI	I	UL	I
gene-SOCS7	I	I	I	I	I	PI	UL	I
gene-LOC119842782	PI	I	I	I	I	I	I	I
gene-ALAS1	I	I	I	I	I	I	I	I
gene-PPP1R3B	I	I	I	I	I	I	I	I
gene-MYO18A	I	UL	I	I	I	I	UL	I
gene-RIMS2	I	I	I	I	I	I	I	I
gene-NXPE3	I	I	I	I	I	I	I	I
gene-ITGB1BP1	I	I	I	I	I	I	I	I
gene-LDLRAD4	I	I	I	I	I	I	I	I
gene-RBBP8	I	I	I	I	I	I	UL	I
gene-ARHGEF9	I	I	I	I	I	I	I	I
gene-SCRIB	I	PI	I	I	I	I	I	I
gene-KCNJ1	I	I	I	I	I	I	I	I
gene-PRUNE2	I	I	I	I	I	I	I	I
gene-MFSD8	I	I	I	I	I	I	I	I
gene-AGBL5	UL	PI	I	I	PI	PI	UL	I
gene-ZNF618	I	I	M	I	I	I	L	I
gene-SLC7A5	I	I	I	I	I	I	I	I
gene-TFCP2L1	I	I	I	I	I	I	UL	I
gene-MOSPD1	I	I	I	I	I	I	I	I
gene-ZEB2	I	I	I	I	I	I	I	I
gene-SGIP1	I	I	I	I	I	I	I	I
gene-METTL3	PI	PI	I	I	I	I	I	I
gene-LOC119849136	I	I	I	I	I	I	I	I
gene-LOC119850509	I	PI	I	I	I	L	I	I
gene-ZNF384	I	I	I	I	I	I	I	I
gene-DIAPH1	PI	I	PI	PI	PI	PI	I	PI
gene-MTMR2	PI	PI	I	I	I	I	I	I
gene-VEZT	I	I	I	I	I	I	I	I
gene-ARHGAP36	I	I	I	I	I	I	I	I
gene-CMKLR2	I	I	I	I	I	I	I	I
gene-EBF1	I	I	I	I	I	I	UL	I
gene-RMND1	PI	I	I	I	I	I	I	I
gene-CROCC	I	I	I	I	L	I	I	I
gene-GOLGA4	I	I	I	I	I	I	I	I
gene-KATNAL1	I	I	I	I	PI	I	I	I
gene-EIF2D	I	I	I	I	I	I	I	I
gene-PACSIN3	I	I	I	I	I	I	I	I
gene-TSGA10	I	PI	I	I	I	I	I	I
gene-DHFR	I	I	I	PI	I	I	I	I
gene-LRTM2	I	I	I	I	I	I	I	I
gene-LIME1	I	I	I	I	I	I	I	I
gene-LOC122455377	I	I	I	I	I	I	UL	I
gene-TMEM107	PI	PM	PM	I	I	PI	I	I
gene-CLEC3A	I	I	I	I	I	I	I	I
gene-LOC119863641	L	L	L	L	L	L	L	L
gene-NRXN1	I	I	I	I	I	I	I	I
gene-ANKRD50	I	I	I	I	I	I	I	I
gene-PALD1	I	I	PI	I	I	I	I	I
gene-LOC119847633	I	I	PI	I	PI	UL	I	UL
gene-FSTL4	I	I	PI	I	I	I	I	I
gene-LOC119847427	I	I	PI	I	I	UL	I	I
gene-LIMA1	I	I	I	I	I	I	I	I
gene-ATXN2	I	I	I	I	I	I	I	I
gene-C14H17orf58	I	I	I	I	I	I	I	I
gene-TCF7L2	I	I	I	I	I	I	I	I
gene-FUNDC1	I	I	I	I	I	I	I	I
gene-PMS1	I	I	I	I	I	I	I	I
gene-LYSMD4	I	I	I	I	I	I	I	I
gene-BCL10	I	I	I	I	I	I	I	I
gene-CADPS2	I	I	I	I	I	I	I	I
gene-CDC25B	UL	UL	UL	UL	UL	PI	UL	I
gene-MLH1	I	I	I	I	I	I	I	I
gene-LOC119843863	I	PI	I	I	I	I	I	I
gene-MGST2	I	I	I	I	I	I	I	I
gene-BICRAL	I	I	I	I	I	I	I	I
gene-GARNL3	I	I	I	PI	I	I	UL	I
gene-CDK10	I	I	I	I	I	I	I	I
gene-NOVA1	I	I	I	I	I	I	I	I
gene-LOC119846149	I	I	I	I	I	I	UL	I
gene-RGSL1	I	I	I	I	I	I	I	I
gene-LOC119858807	I	L	I	I	I	UL	UL	I
gene-LOC119845231	I	I	I	I	I	I	I	I
gene-CCDC71	I	I	I	I	I	I	I	I
gene-B4GALT6	I	I	I	I	I	I	I	I
gene-STMN4	I	I	I	I	I	I	I	I
gene-WDR55	I	I	I	I	I	I	UL	I
gene-NDUFB2	I	I	I	I	I	I	I	I
gene-PTMS	I	I	I	I	I	I	I	I
gene-MLYCD	I	I	I	I	PI	I	I	I
gene-CHFR	I	I	I	I	I	I	I	I
gene-COLEC11	I	I	I	I	I	I	I	I
gene-PHKB	I	I	PI	I	I	I	I	I
gene-PHF20L1	I	I	I	I	I	I	I	I
gene-GJA10	I	I	I	I	I	I	I	I
gene-FRS2	L	I	I	I	I	I	I	I
gene-LOC119842502	I	PI	I	I	I	I	I	L
gene-LANCL3	UL	UL	L	M	UL	L	UL	UL
gene-UBN1	I	I	I	I	I	I	UL	I
gene-ARHGAP10	I	I	I	I	I	I	I	I
gene-SYBU	I	I	I	I	I	I	I	I
gene-SUN2	I	I	I	I	I	I	I	UL
gene-LOC119862599	I	I	I	I	I	I	I	I
gene-STAB2	I	I	I	I	I	I	I	I
gene-ITFG2	I	I	I	I	I	I	I	I
gene-SLC16A9	I	I	I	I	I	I	I	I
gene-CHRM2	I	I	I	I	I	I	I	I
gene-LOC119859748	I	UL	I	L	I	L	I	L
gene-BAHCC1	I	I	L	I	L	I	UL	I
gene-BCL2L1	I	I	I	I	I	I	I	I
gene-RFTN2	I	I	I	I	I	I	I	I
gene-ETNK2	I	I	I	I	I	I	I	I
gene-SPSB1	I	I	I	I	I	I	I	I
gene-AASDH	UL	I	I	I	I	I	UL	I
gene-LOC119843806	I	I	I	I	I	I	I	I
gene-KLF10	PM	I	I	I	I	I	I	I
gene-NRCAM	I	PI	I	I	I	I	I	I
gene-FAM169A	I	I	I	I	I	I	I	I
gene-LOC119845709	UL	I	I	L	I	L	UL	PI
gene-RPL7A	I	PI	I	I	I	I	I	I
gene-LOC119841149	I	I	I	I	I	I	UL	I
gene-MGAT5	I	I	I	I	I	I	UL	I
gene-GPR45	I	I	I	I	I	I	I	I
gene-DNAJA3	I	I	I	I	I	I	UL	I
gene-NUDT4	I	I	I	I	I	I	I	I
gene-SPEN	I	I	I	I	I	I	L	I
gene-IMPACT	I	I	PI	I	I	I	I	I
gene-SLC29A3	I	I	I	I	I	I	I	I
gene-LOC119851404	I	PI	I	I	I	I	I	I
gene-LOC119842848	I	PM	PM	UL	UL	PI	PI	PI
gene-LMBR1L	I	I	I	I	I	I	UL	I
gene-TNNT2	UL	I	I	I	I	I	I	I
gene-CDH22	I	I	I	I	I	I	I	I
gene-AKAP3	I	M	I	I	I	I	I	I
gene-AHCY	I	I	I	I	I	I	I	I
gene-B4GALT3	I	I	PI	I	UL	I	I	I
gene-BFAR	I	PI	I	I	I	I	I	I
gene-UBAP2L	I	PI	PI	I	I	I	I	I
gene-RNF141	I	I	PI	I	I	I	I	I
gene-HNRNPA2B1	I	I	I	I	I	I	I	I
gene-PRDM13	I	I	M	I	I	I	L	I
gene-BUD23	I	I	I	I	I	I	I	I
gene-PIMREG	I	I	I	I	I	I	I	I
gene-PCGF2	I	I	I	I	I	I	I	I
gene-GOLGA1	I	UL	I	I	I	I	UL	I
gene-BATF2	I	I	I	I	I	I	I	I
gene-CTCF	I	I	I	I	I	I	I	I
gene-REV3L	I	I	M	I	I	I	I	I
gene-PITPNM2	I	I	I	I	I	I	I	I
gene-PLEKHO2	I	I	I	I	I	I	I	I
gene-PKIG	I	I	I	I	PI	I	I	I
gene-LOC119862329	I	I	I	UL	I	I	I	I
gene-IRAK1BP1	I	I	I	I	I	I	UL	I
gene-LOC119861905	I	I	I	I	I	I	I	I
gene-SYT3	PI	PI	PM	I	PM	I	UL	I
gene-ASAP1	I	I	I	I	PI	I	I	I
gene-LOC119863782	L	L	I	I	L	L	L	I
gene-ESF1	UL	UL	I	UL	UL	UL	UL	UL
gene-PTPRM	I	I	I	I	I	I	I	I
gene-LOC119850780	I	I	I	I	I	I	I	I
gene-ARHGAP39	I	I	PI	I	I	L	I	I
gene-CBFA2T2	I	I	I	I	I	I	UL	I
gene-HECTD1	I	I	I	I	I	I	UL	I
gene-APOB	I	I	I	I	I	I	I	I
gene-RALYL	I	I	I	I	I	I	I	I
gene-RALGPS1	I	I	I	I	I	I	I	I
gene-WIPI1	I	I	I	I	I	I	I	I
gene-NCBP1	I	I	PI	I	I	I	I	I
gene-ANTKMT	I	I	I	I	I	I	I	I
gene-MAN2C1	I	I	I	I	I	I	UL	I
gene-HSF1	I	I	I	I	I	I	I	I
gene-SF3A2	I	I	I	I	I	I	I	I
gene-CAMK2B	I	PI	I	I	I	I	UL	I
gene-B4GALNT4	I	I	I	I	I	I	L	I
gene-RBFOX1	I	I	I	I	I	I	I	I
gene-LOC119843115	M	PG	M	M	I	M	I	M
gene-TNFRSF11B	I	I	I	I	I	I	I	I
gene-LOC119858355	UL	I	I	I	UL	I	I	I
gene-VTI1A	I	I	I	PI	I	I	I	I
gene-LOC119858973	I	I	I	I	I	I	I	I
gene-ARRDC2	I	I	I	I	I	I	I	I
gene-ANAPC4	UL	UL	I	I	I	I	I	I
gene-LOC119842407	UL	PG	M	UL	UL	UL	UL	I
gene-IMPDH1	PI	PI	PI	I	PI	I	UL	I
gene-LOC119842239	I	M	I	UL	UL	M	I	L
gene-RXFP1	I	I	I	I	I	I	UL	I
gene-LOC119853270	I	I	I	I	PI	I	I	I
gene-LOC119842741	UL	UL	UL	I	UL	L	L	L
gene-RPS6KB2	I	PI	I	I	L	I	UL	I
gene-LOC119842925	I	UL	I	L	UL	PM	I	L
gene-CCDC9B	I	I	I	I	I	I	I	I
gene-LOC119846674	L	L	I	L	I	L	L	L
gene-DEDD2	PI	I	I	I	I	I	I	I
gene-SLC30A4	I	I	I	I	I	I	I	I
gene-GADD45A	I	I	I	I	I	I	I	I
gene-TBC1D1	I	I	PI	I	I	I	I	I
gene-SNX2	I	I	I	I	I	I	UL	I
gene-HOMER3	I	I	I	I	I	I	I	I
gene-UBE3D	I	I	I	I	I	I	I	I
gene-DHX30	I	I	I	I	I	I	I	I
gene-TEN1	I	I	I	I	I	I	I	I
gene-PIBF1	I	I	PI	I	I	I	I	I
gene-SPOPL	I	I	I	I	I	I	I	I
gene-TEAD1	I	I	I	I	I	I	I	I
gene-ARL5B	I	I	I	I	I	I	I	I
gene-ESD	I	PI	I	I	I	I	I	I
gene-RHOT1	I	I	I	I	I	I	I	I
gene-ARPC2	I	I	I	I	I	I	UL	I
gene-IQSEC1	I	I	I	I	I	I	I	I
gene-TPK1	I	I	I	I	PI	I	I	I
gene-EIF4H	I	I	I	I	I	I	I	I
gene-EXOSC6	M	I	M	I	M	M	L	I
gene-CHRNB3	UL	UL	UL	PI	UL	UL	UL	UL
gene-HIBCH	I	I	I	I	I	I	I	I
gene-LOC119841347	I	I	I	I	I	I	I	I
gene-LOC119841838	I	L	I	UL	I	I	I	I
gene-TRERF1	I	I	I	I	I	I	UL	I
gene-PTP4A3	I	I	I	I	I	I	I	I
gene-WDR64	UL	I	UL	UL	PI	UL	I	UL
gene-MPV17L2	I	I	I	I	I	PI	I	I
gene-TPST1	I	I	I	I	I	I	I	I
gene-CCDC157	I	I	I	I	I	I	PI	I
gene-SYF2	I	I	I	I	I	I	I	I
gene-B4GALT5	I	I	I	I	I	I	I	I
gene-NRF1	I	I	I	I	I	I	I	I
gene-GPALPP1	I	I	I	I	I	I	UL	I
gene-FA2H	I	I	I	I	I	I	I	I
gene-PPM1F	I	PI	I	I	I	I	UL	I
gene-OMA1	I	I	I	I	I	I	I	I
gene-EXOC7	I	I	I	I	I	I	I	I
gene-LOC119842496	L	L	I	L	I	I	UL	I
gene-SLC25A16	I	I	I	I	I	I	I	I
gene-HMOX1	I	I	I	I	I	I	I	I
gene-LOC119852691	I	I	I	I	I	I	I	I
gene-CHPF2	I	I	I	I	I	I	I	I
gene-ATF2	I	I	I	I	I	I	I	I
gene-MAP3K7	I	I	I	I	I	I	I	I
gene-LOC119843335	I	UL	I	I	M	I	I	I
gene-SLC29A1	UL	I	I	I	I	I	I	I
gene-PPIP5K1	I	I	PI	I	I	I	I	I
gene-TANGO2	I	I	I	I	I	I	I	I
gene-SLC35B3	I	I	I	I	I	I	I	I
gene-MTSS1	I	I	I	I	I	I	I	I
gene-LOC119847220	PI	I	UL	I	PI	I	I	I
gene-NPR3	I	I	I	I	I	I	I	I
gene-MCM3	I	I	I	I	I	I	I	I
gene-LOC119853381	L	L	L	L	L	L	L	L
gene-LOC119847383	UL	UL	UL	I	PI	I	UL	PI
gene-SLC39A3	I	I	I	I	I	I	I	I
gene-SRCIN1	I	PI	UL	I	PI	I	UL	I
gene-SAT1	I	I	I	I	I	I	I	I
gene-SOX6	I	I	I	I	I	I	UL	I
gene-SF1	I	PI	I	I	I	I	UL	I
gene-TRANK1	I	I	I	I	I	I	UL	I
gene-KLHL15	I	I	I	I	I	I	I	I
gene-PDE1B	I	I	I	I	I	I	I	I
gene-RAF1	I	I	PI	I	I	I	I	I
gene-STARD8	I	I	I	I	I	I	UL	I
gene-SPRY2	I	I	I	I	I	I	I	I
gene-GSTCD	I	I	I	I	I	I	I	I
gene-C2CD2	I	I	I	I	I	I	I	I
gene-LOC119859409	I	I	I	I	PI	I	I	I
gene-SENP6	I	I	I	PI	I	I	I	I
gene-LOC119859359	I	I	I	I	I	I	I	I
gene-WDR25	I	I	I	I	I	I	I	I
gene-CCDC137	UL	I	I	UL	I	I	I	I
gene-PPIL2	I	I	I	I	I	I	I	I
gene-SEPTIN8	I	I	I	I	I	I	I	I
gene-LOC119851143	I	I	I	I	I	I	I	I
gene-MS4A1	I	I	PI	I	I	L	I	L
gene-LOC119842503	I	PM	I	L	PI	I	L	I
gene-AURKB	UL	M	L	I	I	I	I	I
gene-GAREM1	I	I	I	I	I	I	I	I
gene-HEPH	I	I	I	I	I	I	UL	I
gene-FUBP1	I	I	I	I	I	I	I	I
gene-TMEM121	I	I	I	I	I	I	I	I
gene-INTS7	I	I	I	I	I	I	UL	I
gene-ACOT7	I	I	I	PI	I	I	UL	I
gene-GUF1	I	I	I	I	I	I	I	I
gene-LOC119849381	UL	M	PM	L	PM	L	L	UL
gene-NEO1	I	I	PI	I	I	I	I	I
gene-LOC119849942	I	I	I	I	I	I	I	I
gene-ALX4	I	I	I	I	I	I	I	I
gene-HEXIM1	M	I	I	I	I	M	I	I
gene-SCLT1	I	I	I	I	I	I	UL	I
gene-TONSL	I	I	I	I	I	UL	I	UL
gene-LOC119856101	UL	UL	I	PI	UL	UL	UL	UL
gene-LOC119842591	M	M	UL	I	I	I	I	UL
gene-AQP8	I	I	I	I	I	I	I	I
gene-TRIP12	I	I	I	PI	I	I	I	I
gene-PWWP2A	I	I	I	I	I	I	I	I
gene-LOC119860016	I	I	PI	I	I	I	I	I
gene-LOC119863092	I	I	I	I	I	PI	I	I
gene-FBXW5	I	I	I	I	I	I	I	I
gene-LOC119847438	PI	I	I	I	I	I	I	I
gene-SUPV3L1	I	I	I	I	I	I	I	I
gene-MAP4	PI	I	I	I	I	I	I	I
gene-ATG2B	I	I	I	I	I	I	I	I
gene-UNCX	I	I	I	I	I	I	UL	UL
gene-ADRB1	I	I	I	I	I	M	UL	I
gene-RBM47	I	I	I	I	I	I	I	I
gene-INSYN1	I	I	I	I	I	I	I	I
gene-LOC119849184	UL	UL	UL	UL	PI	UL	PI	L
gene-PIGB	I	UL	I	I	I	I	I	I
gene-NFAT5	I	I	I	I	I	I	I	I
gene-DNAJA2	I	I	I	I	I	I	I	I
gene-FEV	UL	UL	L	UL	M	L	UL	L
gene-RET	I	I	I	I	I	I	UL	I
gene-LOC119854394	I	L	I	I	I	I	L	I
gene-ZNF414	I	I	I	I	I	I	I	I
gene-SRF	I	I	PI	I	PI	PI	UL	PI
gene-SH2D3C	I	I	I	I	I	I	UL	I
gene-BBS4	I	I	I	I	I	I	I	I
gene-ANK3	I	I	I	I	I	I	I	I
gene-DHRS12	I	PI	I	I	I	I	I	I
gene-SLC35F3	I	I	I	I	I	I	I	I
gene-DPP3	I	I	I	I	I	I	UL	I
gene-CHD4	I	I	I	I	I	I	I	I
gene-CARD10	I	I	I	I	I	I	UL	I
gene-LOC119862187	I	I	I	I	I	I	I	PI
gene-RUNDC3A	I	I	I	I	I	I	I	I
gene-LOC119852022	I	I	PI	L	PI	I	UL	I
gene-DENND2B	I	I	PI	I	I	I	I	I
gene-CBX1	I	I	I	I	I	I	I	I
gene-AHNAK	I	PI	PI	PI	PI	PI	I	PI
gene-LOC122460029	I	UL	I	UL	I	I	L	I
gene-SLC25A21	I	PI	I	I	I	I	I	I
gene-MAPKAPK5	I	I	I	I	I	I	I	I
gene-LOC119860662	I	PI	UL	I	I	I	I	I
gene-ZNF395	I	I	I	I	I	I	I	I
gene-PHYH	I	I	I	I	I	I	I	PI
gene-RABGAP1L	I	I	I	I	I	I	I	I
gene-ALDOB	I	I	I	I	I	I	I	I
gene-NDUFB1	I	I	I	I	I	I	I	I
gene-MAP7D3	I	I	I	I	I	I	I	I
gene-CCDC9	I	I	L	I	PI	I	UL	UL
gene-MINAR1	I	I	I	I	I	I	I	I
gene-USP9X	I	I	I	I	I	I	I	I
gene-SLC38A9	I	I	I	I	I	I	I	I
gene-PEX11B	I	I	I	I	I	I	I	I
gene-PI4K2B	I	I	I	I	I	I	I	I
gene-ABITRAM	I	I	I	I	I	I	I	I
gene-GCC1	I	I	I	I	I	I	UL	I
gene-CCDC97	I	I	PM	I	I	M	UL	I
gene-LOC122458001	L	L	L	L	L	L	L	L
gene-TMEM192	I	I	I	I	UL	I	I	I
gene-ITGB2	I	I	I	I	I	UL	UL	I
gene-LOC119846920	L	L	UL	L	I	L	L	L
gene-LOC122455419	I	I	I	I	I	I	UL	I
gene-MTG2	I	I	I	I	I	I	I	I
gene-THEGL	UL	UL	UL	UL	I	I	I	UL
gene-RNF6	I	I	I	I	I	I	I	I
gene-PARD3	I	I	PI	I	I	I	I	I
gene-ANKH	I	I	I	I	I	I	I	I
gene-LOC119860945	I	I	I	I	I	I	I	I
gene-LOC119843276	I	L	PI	PI	I	L	L	L
gene-ZDHHC20	PI	I	I	I	I	I	UL	I
gene-IWS1	I	PI	I	I	PI	PI	UL	I
gene-LOC122457437	M	L	UL	UL	I	UL	UL	L
gene-SENP8	I	I	I	I	I	I	I	I
gene-TNRC6A	I	I	I	I	I	I	I	I
gene-SRP68	I	I	I	I	UL	I	I	I
gene-SVIL	UL	I	I	I	I	I	I	I
gene-SNRPA1	UL	I	I	I	PI	I	I	I
gene-WASF1	I	I	I	I	I	I	UL	I
gene-SPCS3	I	I	I	I	I	I	I	I
gene-LDLRAD2	M	L	I	I	I	I	I	I
gene-OSMR	I	I	I	I	I	I	UL	I
gene-SCUBE1	I	I	I	I	I	I	I	I
gene-LOC119849686	UL	UL	UL	UL	UL	UL	L	UL
gene-PTPRK	I	I	PI	I	PI	I	I	I
gene-CREB3	I	PI	I	I	PI	I	UL	I
gene-NLGN3	I	M	I	I	I	I	I	I
gene-LOC119852644	I	UL	I	I	PI	I	I	I
gene-TNS3	I	I	I	I	I	I	I	I
gene-IMPA1	I	I	I	I	I	I	I	I
gene-LOC119851598	I	I	I	I	I	I	I	I
gene-LOC122456616	I	L	I	UL	I	L	UL	L
gene-ANKRD44	I	I	I	I	I	I	I	I
gene-LOC119856526	I	L	I	L	I	I	UL	I
gene-PYGL	I	I	I	I	I	I	I	I
gene-RAB5IF	I	I	I	I	I	I	I	I
gene-TM4SF18	I	I	I	I	I	I	I	I
gene-MERTK	I	I	I	I	I	I	UL	I
